Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1813,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-0.8,-1.4,-11.2,999.9
1814,-24.6,-10.9,-7.4,-3.9,1.3,12.7,13.9,14.6,7.6,-1.9,-4,-11.5,-1.2
1815,-11.7,-13.8,-3.9,-2.1,1.4,9.7,15.3,15.4,10.3,2,-4.4,-10,0.7
1816,-8.2,-19.2,-8.8,2.1,3.4,11.4,14.4,14.6,9.3,1.9,-3.2,-9.2,0.7
1817,-8.7,-9.5,-9.1,0,7.9,9.2,14.1,15,5.1,-0.3,-8.9,-22.8,-0.7
1818,-10.1,-18.1,-4.2,-0.8,4,12.6,15.4,12,8.3,2.1,-5.1,-5.1,0.9
1819,-8.3,-15.9,-6.6,-5.5,1.7,14.6,15.1,13.6,10.2,1.7,-10.6,-18.3,-0.7
1820,-21.7,-14.8,-2.5,1.4,6.7,13.4,15.1,13.4,9.4,2.7,-2.9,-10.7,0.8
1821,-13.9,-10.5,-6.3,1.7,6.8,8.2,18.9,12.8,7.2,5.5,-4,-9,1.5
1822,-11.9,-3.4,0.6,0.5,4.7,12,14.3,13.9,9.1,3.3,-5.8,-4.6,2.7
1823,-16.1,-12.2,-0.8,-0.1,7.8,18.7,17,14.4,10.2,2,-12.6,-10.5,1.5
1824,-17.3,-11,-2.9,-2.1,3.6,9.7,14,11.8,11.5,1.1,-3.4,-9.6,0.5
1825,-7.8,-9.3,-5.3,0.8,1.1,14.4,13.8,15.1,7.1,3.3,-2.3,-8.1,1.9
1826,-14.3,-13.3,-2.6,3.5,8.5,15.3,19.6,15.7,10.1,2.9,-1.2,-5.2,3.3
1827,-10.9,-14,-3.7,4.1,7,11.4,16.5,14.5,9.6,-2.5,-3.5,-16.5,1
1828,-22.6,-17,-9.3,-0.2,8.6,14.7,14.7,15.1,6,1.9,-5.2,-13.5,-0.6
1829,-16,-13.6,-11.7,-5.1,7.2,10.4,16.6,13,9.4,2.4,-6.3,-12.5,-0.5
1830,-11.1,-11.7,-5.4,-1.9,2,13.8,16.6,14.8,7.3,1.2,-0.9,-6,1.6
1831,-18.4,-8.3,-9.3,-0.5,6.8,12.9,16.1,13.5,8.7,1.9,-2.4,-11.3,0.8
1832,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1833,999.9,999.9,-11.9,-0.6,2.1,14.2,14.4,11.8,9.4,4,-0.6,-15.6,999.9
1834,-19.8,-12.4,-7,-0.6,4.4,11,12.7,15.9,7.7,3.4,-8.4,-11.9,-0.4
1835,-10.5,-8.7,-6.6,-0.7,3.9,11.9,13.3,10.4,8.2,2.9,-8.7,-23.7,-0.7
1836,-13.4,-11.2,-2.4,3.8,3,8.2,12.8,12.5,6.9,2.9,-3.7,-12,0.6
1837,-16.2,-4.8,-9.5,-2,4.9,11.7,10.4,14.3,7.4,0.1,-1.6,-14.4,0
1838,-21,-18.1,-8.3,1.5,5.6,9.6,15.8,13.6,8.2,0.4,-5.6,-9.7,-0.7
1839,-8,-13,-11.4,-4.1,10.8,12.1,17.7,13.8,7.5,4.2,-6.3,-16.4,0.6
1840,-12.7,-10.8,-10.7,-1.6,4.2,12,15.4,13.3,6.4,-1.4,-10.6,-13.6,-0.8
1841,-14.8,-12.8,-5.8,0.7,6.5,13.5,15.8,15.8,7.6,1.7,-4.5,-7.5,1.4
1842,-8.6,-8.1,-11.6,-5.7,4.9,10.5,17.6,15.1,7.2,-1.4,-6.1,-8,0.5
1843,-6,-7.6,-9.7,-7.6,2,11.7,15.8,13,9.5,2.6,-5.1,-5.9,1.1
1844,-13.3,-21.9,-7.4,0.7,9.4,13.3,16.4,17.1,9.4,1.8,-10.4,-9.2,0.5
1845,-7.4,-18.3,-13.1,-6.2,1.3,11.1,14.6,14.5,10.5,0.1,-1.5,-7.7,-0.2
1846,-12.4,-16.8,-3.2,0.7,4.8,10.5,19,15.7,7.5,3.7,-3.5,-12.6,1.1
1847,-12.6,-14.5,-10,-4.2,2.6,12.5,16.4,17.9,14.3,2,-2,-5.5,1.4
1848,-15.6,-6.2,-4.6,0.6,5.7,11.9,16.5,14.7,9.6,0.6,-5.4,-8.9,1.6
1849,-20.2,-8.5,-7,-0.4,4.2,11.7,18.5,14.9,8.6,1.3,-2.7,-12.8,0.6
1850,-18.6,-11.8,-11.4,0.9,6,12,18.8,16.4,7.6,0.6,-6.2,-9.3,0.4
1851,-9.6,-15.5,-9.7,0.7,7,14.1,19.4,14.4,12.1,2.3,-0.6,-10.9,2
1852,-15.5,-13.7,-4.8,-4.3,7.9,12.8,13,13.9,9.3,-1.7,-12.6,-9.7,-0.5
1853,-8,-9.3,-12.4,-0.1,6,13.2,18.5,15.4,8.1,2.4,-1.1,-8.1,2.1
1854,-15.5,-13.2,-5.8,-3,8,14.1,16.3,14.8,7.7,4.3,-7.5,-4.8,1.3
1855,-13.2,-17.5,-10.4,2.5,9,13.5,13.8,12.8,6.6,1.2,-7.8,-16.2,-0.5
1856,-14.4,-15.3,-13.1,-4,5,12.8,15.7,11.7,7.5,0.1,-10.3,-15.6,-1.7
1857,-15.3,-13.1,-5.4,-3.6,1.4,10.7,13.1,14,5.1,-1.3,-5.8,-10.5,-0.9
1858,-10,-10.6,-5.5,0.8,12.2,14.6,19.3,14.4,8.7,-1,-8.3,-9.1,2.1
1859,-9.3,-6,-6.4,0.8,8,16.2,15.7,13,7.5,0.3,-2.6,-6.3,2.6
1860,-14.4,-14,-6.8,1.7,5.8,14.3,15.3,15.1,7.6,2.2,-8.1,-16.4,0.2
1861,-20.2,-11.8,-3.3,-4.4,6.4,11.5,17.9,15.7,7.5,-0.3,-12.3,-12.1,-0.5
1862,-22.9,-17.8,-11.2,1.5,1.7,8.8,15.6,10.4,7.3,0.5,-5.3,-12.6,-2
1863,-5.9,-8.9,-5.5,3.9,8.1,12.8,14.9,12.2,11.7,2.1,-3.9,-7.5,2.8
1864,-13.4,-8.9,-8,-2,3.1,16.7,18.4,13.2,6.6,-2.4,-13.8,-6.3,0.3
1865,-13.3,-13.2,-10.1,-1.7,2.5,10,17.6,10.7,6.9,-0.2,-2.4,-6.5,0
1866,-5.7,-20.7,-10.4,-3,3.3,12.3,15,16,11.7,1,-6.8,-14.9,-0.2
1867,-19.8,-11.9,-11.4,-1.6,-1.2,11.1,16.4,13.7,7.2,4.8,-10.5,-18.5,-1.8
1868,-17.9,-15.2,-3.3,-0.5,8,11.6,17.2,17,8.2,2.4,-6.6,-10.3,0.9
1869,-13.3,-11.1,-3.7,1.6,6.3,15.2,19.7,16.1,9.8,1.5,-0.7,-9.4,2.7
1870,-11.9,-16.6,-6.4,0.5,4.4,14.7,18.5,12.1,7.7,-0.8,-12.8,-20.3,-0.9
1871,-14.3,-24.8,-3.7,-1.1,3.6,8.9,17.7,13.4,6.1,1.8,-5.9,-12.3,-0.9
1872,-11.3,-12.2,-10.7,-0.3,5.5,12.1,14.5,14.5,6.3,3.4,-7.6,-13,0.1
1873,-13.9,-11.8,-11.4,-6.7,2.1,16,13.8,14.8,7.9,1.3,-9.2,-14.2,-0.9
1874,-5.4,-11.9,-5.8,-1.8,3.3,10.8,15.9,15.9,8.1,4.4,-7.1,-12.4,1.2
1875,-17.2,-10.2,-11.9,-2.5,5.1,12.3,16.3,13.3,5.9,0.4,-6.5,-23.6,-1.6
1876,-12.8,-12.6,-6.5,-4,0.8,13.6,17.7,14.3,10.9,0.9,-6.8,-20.5,-0.4
1877,-14.1,-18.2,-11,-6.6,4.7,10.4,16.8,11.6,5.1,1.9,1.3,-5.6,-0.3
1878,-14.1,-10.5,-4.4,-2.1,6.1,14.7,14.7,12.1,9.3,4.2,-3.1,-7.4,1.6
1879,-12.7,-16.8,-7,-0.9,7,9.8,12.2,13.1,9.1,2.4,-10.1,-13.1,-0.6
1880,-13.4,-10.9,-10.9,-2.9,4.4,10.6,14.6,15.3,10,-3.6,-6.1,-10.6,-0.3
1881,-19,-14.2,-9.2,-2.3,3.1,10.4,17.3,15.4,5.6,1.2,-4.5,-6.6,-0.2
1882,-9.3,-10.4,-5.1,-2.1,4.5,9.2,15.9,17.5,9,0.7,-13,-14.6,0.2
1883,-14.7,-8.2,-10.3,1.6,7.8,16.5,13.8,11.3,7.7,0.4,-1.2,-6.1,1.6
1884,-14.3,-10.5,-6.8,-5.9,2.2,12.9,13,10.1,6.2,4.3,-4.3,-15.3,-0.7
1885,-16.5,-10.5,-5.7,-1.4,3.7,11,19.3,12.4,5.7,-0.6,-11.7,-10.9,-0.4
1886,-15.1,-12.3,-6.2,-0.4,6.2,11.6,18.1,14.4,6.9,0.7,-5.4,-5.6,1.1
1887,-9.6,-6.7,-8.9,-0.6,8.1,9.5,17.5,14.4,9.9,-1.1,-5.7,-18.5,0.7
1888,-17.4,-13.5,-12.9,-2.6,5.2,10.3,15.4,13.6,7.5,-0.1,-6.5,-17.4,-1.5
1889,-13,-13,-8.3,1.1,8,10.7,15.4,14.9,8.3,4.2,-4.2,-6.5,1.5
1890,-15,-7.8,-3.9,-2,2.9,12.9,17.1,14.2,9.6,0.5,-11.3,-7.5,0.8
1891,-12.1,-6.1,-7,-2.7,4.2,8.9,14.5,9.5,5.3,-0.6,-8.4,-11.5,-0.5
1892,-17.2,-11.4,-6.3,-3.4,5.3,9.5,14.4,11.1,8,-0.1,-2.6,-14.4,-0.6
1893,-17.4,-22.1,-10.6,-3.4,3.6,10.8,15,13.1,6.1,2.2,-8.7,-11.8,-1.9
1894,-7.7,-8.1,-8.2,0,8.3,14.7,13,16.7,5.2,-1.9,-5.8,-10.4,1.3
1895,-12.4,-20.1,-8.3,-1.3,5.2,13.1,14.7,11.8,7,3.5,-4,-8.2,0.1
1896,-13.2,-14.8,-6.5,-1.1,6.9,12.5,15.5,13.8,8.4,4.3,-7.7,-9.9,0.7
1897,-11.2,-14.6,-10.2,0,14,10.5,15.7,11.5,9.7,2.1,-5.2,-11.7,0.9
1898,-8.4,-15.5,-10.8,-0.6,7,10.8,17.5,15.3,10,-0.3,-3.5,-12.3,0.8
1899,-14.7,-16,-15.2,-0.7,1.5,8.5,16.2,9.8,8.8,1.7,-3,-11.5,-1.2
1900,-13.6,-14.6,-7.7,-2.2,3.4,8.4,13.3,13.9,7.1,2.1,-3.4,-10.7,-0.3
1901,-6.3,-14.3,-8.8,0.5,5.3,13.7,13.8,11.9,7.8,3.9,-7.3,-18.2,0.2
1902,-17.9,-14.1,-13.9,-4.6,4,8.9,15.9,13.9,6.3,-5,-8.8,-14.1,-2.5
1903,-15.2,-8.9,-3.3,3.2,6.8,12.7,13,14.4,7.5,-1.8,-3,-5.2,1.7
1904,-7.5,-15.9,-6.2,1.8,4.4,13.4,12.3,12.8,7.9,4.1,-7.1,-14.6,0.5
1905,-11,-9.2,-4.1,1.3,7.8,11.9,15.7,12.5,8.2,0.7,-3.3,-7.1,2
1906,-9.3,-11.6,-9.4,0.9,10,13.7,17.6,11.6,6.6,1.5,-5.9,-8.9,1.4
1907,-21.9,-8,-3.3,1.4,2.6,15,16.9,12.1,7.9,3.3,-8.2,-18.7,-0.1
1908,-16.7,-11,-9.4,0.9,3.8,13.2,15.4,13.8,7.6,1.2,-7.4,-9.1,0.2
1909,-8,-11.3,-7.2,-4.6,2.5,10.2,16.5,14.2,10.4,4.7,-5.2,-8.7,1.1
1910,-10.7,-4,-4.6,1.1,6.5,11.3,15.4,10.5,8.3,-0.6,-6.3,-8.2,1.6
1911,-11.3,-16.6,-7,-3.1,4.3,12,13.1,14.3,7.5,0.9,-0.7,-5.8,0.6
1912,-15.4,-20.6,-7.9,-3.4,4.9,14.5,12,14.2,9,-3.7,-4.2,-10.6,-0.9
1913,-11.8,-15.3,-6.4,3.2,3.4,9.7,17.6,14.9,8.7,-0.8,-4.8,-9.1,0.8
1914,-15.4,-11.7,-7.7,-2.6,4.7,14.6,14.9,12.9,7.8,1.3,-4.4,-6.1,0.7
1915,-11.7,-10.1,-12.7,0.2,5.4,9.5,17.7,12.6,6.6,0.9,-8.3,-19.6,-0.8
1916,-10.6,-5.8,-8.6,-0.3,2.1,13.2,17.4,10.7,6.1,-0.6,-1.1,-8.4,1.2
